day	month	year	AccumulationFinal
21	10	2012	0.2
21	10	2013	11.999999999999998
21	10	2015	1.0
21	11	2012	0.0
21	11	2013	1.6
21	11	2015	1.5999999999999999
21	12	2012	1.9999999999999998
21	12	2013	12.999999999999993
21	12	2015	11.799999999999995
22	1	2013	639.4
22	1	2014	0.0
22	1	2016	0.2
22	2	2013	3160.0
22	2	2014	8493.4
22	2	2016	0.0
22	3	2014	28.400000000000002
22	3	2015	0.0
22	3	2016	1.9999999999999998
22	4	2013	0.0
22	4	2014	5.200000000000001
22	4	2015	0.8
22	4	2016	0.8
22	5	2013	0.2
22	5	2014	1.2
22	5	2015	0.0
22	6	2010	11.799999999999999
22	6	2013	13.399999999999999
22	6	2014	0.0
22	6	2015	7.200000000000001
22	7	2010	2.4000000000000004
22	7	2013	0.0
22	7	2015	0.0
22	8	2013	0.0
22	8	2015	0.0
22	9	2013	0.0
22	9	2015	0.0
22	10	2012	3.8
22	10	2013	1.2000000000000002
22	10	2015	0.0
22	11	2012	0.2
22	11	2013	5.600000000000001
22	11	2015	0.6000000000000001
22	12	2012	0.2
22	12	2013	5.000000000000001
22	12	2015	2.0
23	1	2013	1.2
23	1	2014	0.0
23	1	2016	0.6
23	2	2013	1.6
23	2	2014	519.8000000000001
23	2	2016	0.0
23	3	2014	0.0
23	3	2015	0.0
23	3	2016	4.200000000000001
23	4	2013	0.0
23	4	2014	0.0
23	4	2015	0.0
23	4	2016	0.0
23	5	2013	0.2
23	5	2014	0.0
23	5	2015	0.0
23	6	2010	68.2
23	6	2013	0.2
23	6	2014	3.2
23	6	2015	8.0
23	7	2010	57.8
23	7	2013	0.0
23	7	2015	0.0
23	8	2013	0.0
23	8	2015	0.0
23	9	2013	0.2
23	9	2015	0.0
23	10	2012	22.799999999999976
23	10	2013	0.2
23	10	2015	0.0
23	11	2012	19.000000000000004
23	11	2013	0.2
23	11	2015	0.6000000000000001
23	12	2012	0.0
23	12	2013	0.0
23	12	2015	0.4
24	1	2013	0.0
24	1	2014	8566.800000000001
24	1	2016	0.0
24	2	2013	2.6
24	2	2014	136.6
24	2	2016	18.59999999999999
24	3	2014	0.0
24	3	2015	0.0
24	3	2016	3.400000000000001
24	4	2013	9.0
24	4	2014	0.0
24	4	2015	0.0
24	4	2016	0.0
24	5	2013	1.5999999999999999
24	5	2014	0.0
24	5	2015	0.0
24	6	2010	2.4000000000000004
24	6	2013	0.0
24	6	2014	10.0
24	6	2015	0.0
24	7	2010	18.599999999999998
24	7	2013	0.0
24	7	2015	0.0
24	8	2013	0.0
24	8	2015	7.800000000000001
24	9	2013	0.0
24	9	2015	0.0
24	10	2012	0.4
24	10	2013	1.7999999999999998
24	10	2015	12.000000000000002
24	11	2012	0.0
24	11	2013	0.0
24	11	2015	5.000000000000001
24	12	2012	0.0
24	12	2013	0.0
24	12	2015	61.400000000000006
25	1	2013	0.0
25	1	2014	995.5999999999999
25	1	2016	0.4
25	2	2013	0.0
25	2	2014	57.800000000000004
25	2	2016	1.2
25	3	2014	504.60000000000014
25	3	2015	6.800000000000001
25	3	2016	7.000000000000002
25	4	2013	2.2
25	4	2014	6.8
25	4	2015	0.0
25	4	2016	2.6000000000000005
25	5	2013	1.0
25	5	2014	0.0
25	5	2015	12.0
25	6	2010	0.0
25	6	2013	2.0
25	6	2014	0.2
25	6	2015	0.0
